filename,filepath,resolution,phash,manual_review,product_name,brands,categories,image_url,source,licence
12751112.jpg,data\raw\packaging\12751112.jpg,3000x4000,fbc104c696c69a6e,,Haldirams Aloo Bhujia,Haldiram,en:chips-and-fries,https://images.openfoodfacts.org/images/products/000/001/275/1112/front_en.3.full.jpg,open_food_facts,CC-BY-SA
24998796.jpg,data\raw\packaging\24998796.jpg,3060x4080,9a6a3b806fb04eb5,,Classic salted chips,Swagath,en:plant-based-foods-and-beverages;en:plant-based-foods;en:snacks;en:cereals-and-potatoes;en:salty-snacks;en:appetizers;en:chips-and-fries;en:potatoes-and-their-products;en:crisps;en:salty-snacks-made-from-potato;en:potato-crisps,https://images.openfoodfacts.org/images/products/000/002/499/8796/front_en.5.full.jpg,open_food_facts,CC-BY-SA
3168930007432.jpg,data\raw\packaging\3168930007432.jpg,849x1200,abcb90b42d3dc4a5,,Chips barbecue,Lay's,en:plant-based-foods-and-beverages;en:dairies;en:plant-based-foods;en:snacks;en:cereals-and-potatoes;en:salty-snacks;en:sweet-snacks;en:appetizers;en:chips-and-fries;en:confectioneries;en:potatoes-and-their-products;en:crisps;en:salty-snacks-made-from-potato;en:potato-crisps;en:candies;en:flavoured-potato-crisps;en:barbecue-crisps;en:dairy-by-products;en:potato-crisps-in-sunflower-oil,https://images.openfoodfacts.org/images/products/316/893/000/7432/front_fr.52.full.jpg,open_food_facts,CC-BY-SA
3420301704808.jpg,data\raw\packaging\3420301704808.jpg,2448x3264,9feab0a53986063b,,India's Magic Masala,Lay's,en:plant-based-foods-and-beverages;en:plant-based-foods;en:snacks;en:cereals-and-potatoes;en:salty-snacks;en:appetizers;en:chips-and-fries;en:potatoes-and-their-products;en:crisps;en:salty-snacks-made-from-potato;en:potato-crisps;en:flavoured-potato-crisps,https://images.openfoodfacts.org/images/products/342/030/170/4808/front_en.3.full.jpg,open_food_facts,CC-BY-SA
3948491405003.jpg,data\raw\packaging\3948491405003.jpg,2256x4000,bf2129b7541c72c5,,Plain,Uncle Chipps,en:snacks;en:salty-snacks;en:appetizers;en:chips-and-fries;en:crisps,https://images.openfoodfacts.org/images/products/394/849/140/5003/front_en.3.full.jpg,open_food_facts,CC-BY-SA
4901521111458.jpg,data\raw\packaging\4901521111458.jpg,2448x3264,aaeee088873a1f78,,chips,bingo,en:plant-based-foods-and-beverages;en:plant-based-foods;en:snacks;en:cereals-and-potatoes;en:salty-snacks;en:appetizers;en:chips-and-fries;en:potatoes-and-their-products;en:crisps;en:salty-snacks-made-from-potato;en:potato-crisps,https://images.openfoodfacts.org/images/products/490/152/111/1458/front_en.12.full.jpg,open_food_facts,CC-BY-SA
5026489484761.jpg,data\raw\packaging\5026489484761.jpg,1054x1200,d481ef690bde28d2,,Quinoa chips,Cofresh,en:snacks;en:salty-snacks;en:appetizers;en:chips-and-fries;en:crisps;en:quinoa-crisps,https://images.openfoodfacts.org/images/products/502/648/948/4761/front_en.4.full.jpg,open_food_facts,CC-BY-SA
6001069206581.jpg,data\raw\packaging\6001069206581.jpg,901x1200,c2d13d6a32c87769,,Potato Chips Salt & Vinegar Flavour,Lay's,en:plant-based-foods-and-beverages;en:plant-based-foods;en:snacks;en:cereals-and-potatoes;en:salty-snacks;en:appetizers;en:chips-and-fries;en:potatoes-and-their-products;en:crisps;en:salty-snacks-made-from-potato;en:potato-crisps;en:flavoured-potato-crisps;en:salt-and-vinegar-crisps,https://images.openfoodfacts.org/images/products/600/106/920/6581/front_en.10.full.jpg,open_food_facts,CC-BY-SA
6009510804782.jpg,data\raw\packaging\6009510804782.jpg,592x1280,a3dc70a6697b23e0,,Potato Chips Salted,Lay's,en:plant-based-foods-and-beverages;en:plant-based-foods;en:snacks;en:cereals-and-potatoes;en:salty-snacks;en:appetizers;en:chips-and-fries;en:potatoes-and-their-products;en:crisps;en:salty-snacks-made-from-potato;en:potato-crisps;en:potato-crisps-in-sunflower-oil,https://images.openfoodfacts.org/images/products/600/951/080/4782/front_fr.26.full.jpg,open_food_facts,CC-BY-SA
6009510806151.jpg,data\raw\packaging\6009510806151.jpg,295x400,ef3cf0b570c29292,,classic salted chips,Lay's,en:plant-based-foods-and-beverages;en:plant-based-foods;en:snacks;en:cereals-and-potatoes;en:salty-snacks;en:appetizers;en:chips-and-fries;en:potatoes-and-their-products;en:crisps;en:salty-snacks-made-from-potato;en:potato-crisps,https://images.openfoodfacts.org/images/products/600/951/080/6151/front_en.20.full.jpg,open_food_facts,CC-BY-SA
